waste_gen,population,growth_rate,area,density,fert_rate,life_exp,mort_rate,per_cap_waste,misman_waste,share_misman,per_cap_gdp
386998,29116851,2.139,652230,44.6,5.8532,48.93,190.04,0.103,0.0478,84,631.49
73364,2989272,0.302,27398,109.1,1.4717,78.45,14.09,0.069,0.0933,45,4097.833
1898343,35949869,1.948,2381740,15.1,2.8013,75.56,29.22,0.144,1.6347,58,4480.719
14666,55529,-0.796,198,280.4,3.416,74.51,13.83,0.172,0.0122,73,4748.078
5106,84563,0.414,468,180.7,1.3391,82.88,4.33,0.214,3e-4,0,49030.229
528843,22641144,3.715,1246700,18.2,6.464,57.29,130.05,0.062,0.1964,71,3641.444
13678,14748,2.197,91,162.1,1.7336,80.35,5.2,0.252,2e-4,2,31439.286
22804,86664,1.265,443,195.6,2.06,74.28,24.05,0.66,0.0039,6,13564.679
2753550,41358093,1.047,2736690,15.1,2.3934,76.06,13.95,0.183,0.4955,12,10412.974
9352,3071974,-0.079,28203,108.9,1.6289,73.1,18.55,0.034,0.0294,29,3121.778
9352,104537,1.457,180,580.8,1.8453,75.27,18.3,0.252,0.0012,1,24084.879
900658,21839563,1.495,7682300,2.8,1.9202,81.58,4.94,0.112,0.0436,0,56459.924
72126,8447901,0.271,82445,102.5,1.4408,80.72,4.72,0.048,0.0086,0,46955.173
324250,9301693,1.023,82629,112.6,1.9351,70.71,34.86,0.252,3e-4,16,5880.806
51364,319159,0.948,10010,31.9,2.0196,71.1,22.34,0.39,0.0042,1,29303.257
59785,1180087,2.971,760,1552.7,1.9087,78.06,14.81,0.132,0.0137,10,20827.719
1888170,146553896,1.114,130170,1125.9,2.4,71.44,51.42,0.034,2.4725,87,781.154
58164,289599,0.463,430,673.5,1.7054,76.24,14.94,0.57,0.0109,4,16203.257
415707,9680067,-0.196,202900,47.7,1.4425,70.77,6.25,0.144,0.0176,34,6025.686
318151,10865721,0.857,30278,358.9,1.8488,80.05,4.43,0.08,0.0086,0,44448.17
20191,326646,2.365,22806,14.3,3.28,73.12,18.81,0.172,0.0122,29,4270.939
144382,9178306,3.277,110622,83,5.6017,57.91,113.59,0.043,0.1351,83,1037.381
5990,68347,0.612,54,1265.7,1.9821,80.34,3.21,0.252,4e-4,0,60426.235
1059795,759415,1.268,38394,19.8,2.29,66.86,62.25,0.252,0.016,16,2097.66
1543879,10024103,1.875,1083301,9.3,3.2472,70.29,41.67,0.144,0.4959,82,1972.684
195633,3884835,-0.062,51187,75.9,1.2145,75.52,7.24,0.144,0.0407,40,4633.861
3674,1977723,1.682,566730,3.5,2.946,58.36,53.47,0.144,0.007,0,6202.466
11852055,197854947,0.878,8358140,23.7,1.75,73.51,22.13,0.165,1.4804,9,11333.023
2504,29629,2.514,151,196.2,1.1998,77.61,19.28,0.252,2e-4,0,35437.219
3688,394772,1.725,5265,75,1.88,75.81,15.45,0.026,3e-4,1,35437.219
415707,7391080,-0.54,108489,68.1,1.5262,73.16,12.9,0.154,0.0588,31,6713.329
96655,15633854,2.923,273800,57.1,5.833,58.26,116.35,0.015,0.0712,83,648.365
4493080,51414732,0.983,653508,78.7,2.4643,65,62.77,0.103,0.0757,49,1384.174
144382,9139612,3.442,25680,355.9,6.2408,61.5,85.81,0.043,0.0706,84,231.549
87636,508410,1.444,4033,126.1,2.54,70.35,38.37,0.069,0.0096,77,3312.035
344698,14326901,1.133,176515,81.2,2.8975,66.93,57.59,0.066,0.0932,87,788.19
335305,20899959,2.776,472710,44.2,5.125,56.32,109.58,0.046,0.087,81,1287.567
1154309,34200883,1.131,9093507,3.8,1.6471,82.65,5.57,0.093,0.025,0,47627.345
11919,3202968,2.681,28051,53.9,5.095,53.85,104.46,0.065,0.0294,74,644.344
5106,50119,2.346,264,189.8,1.8779,79.99,11.14,0.252,3e-4,0,49030.229
407506,4683051,1.934,622984,7.5,4.68,49.91,152.54,0.066,0.4959,85,492.078
485586,11989444,3.615,1259200,9.5,6.6545,54.08,146.85,0.01,0.0478,84,895.354
14678,64799,0.83,544,6551,1.15,78.55,9.93,0.252,9e-4,0,31439.286
738106,16760187,0.935,743812,22.5,1.9,77.8,9.05,0.119,0.0683,7,12794.284
59079741,1340788628,0.534,9326410,143.8,1.54,75.05,15.61,0.121,27.6966,74,4499.803
4557128,30589,0.505,78,830.8,1.4515,81,12.71,0.252,0,0,51165.823
3688,50119,0.414,160,24.7,2.4273,82.63,5.86,0.252,0,0,49030.229
2413455,43821154,0.63,1038700,42.2,2.074,75.37,18.26,0.144,0.2895,21,6498.573
50599,710089,2.284,2235,317.7,4.42,63.36,100.3,0.201,0.1822,83,1322.638
8818,11459,-3.264,236,48.6,2.43,74.47,24.76,0.144,0.0013,36,3133.042
428029,4515673,1.339,51060,88.4,1.9319,77.32,12,0.258,0.1322,16,8268.859
766988,21718472,2.382,318003,68.3,4.51,54.87,110.41,0.103,0.611,82,1650.956
406347,4417475,-0.308,55974,78.9,1.4433,74.67,11.29,0.252,0.0517,9,13562.418
368154,11261892,-0.02,109820,102.5,1.6872,77.69,6.47,0.089,0.2846,23,32421.361
13678,143412,0.943,444,323,2.1115,77.24,10.82,0.252,8e-4,0,29303.257
100713,1102726,1.666,9241,119.3,1.4482,77.66,11.72,0.248,0.0057,0,31439.286
2753550,90458607,0.857,96920,342,1.7828,81.34,5.73,0.147,5.7588,55,19983.577
164305,10550886,0.246,77247,136.6,1.5032,77.56,3.41,0.234,0.0056,2,8268.859
1059795,72742117,3.457,2267048,32.1,6.6242,56.17,116.99,0.045,0.0478,85,333.637
95171,5546980,0.471,42434,130.7,1.8773,79.17,3.91,0.047,0.0056,0,58177.162
31999,739454,2.18,23180,31.9,2.79,60.73,83.03,0.103,0.0544,73,1835.753
3885,73216,0.213,751,97.5,2.08,76.62,15.12,0.149,0.0025,19,6980.957
520238,9432674,1.193,48320,195.2,2.45,69.16,33.67,0.144,0.3713,25,5688.751
801321,14786116,1.461,276841,53.4,2.46,75.44,27.15,0.147,0.3435,30,4633.247
5464471,81571106,2.465,995450,81.9,3.4957,71.15,29.05,0.178,3.0367,67,2922.796
330763,5966820,0.168,20721,288,2.225,72.24,19.39,0.147,0.3729,33,2983.23
49990,985606,5.23,28051,35.1,5.095,62.48,114.9,0.144,0.0188,30,17153.165
72120,5368638,2.384,101000,53.2,4.6975,63.1,77.87,0.045,0.0511,77,501.424
85534,1302817,-0.405,42388,30.7,1.7348,75.24,4.86,0.176,0.0188,9,14696.814
