Entity,Code,Year,"Plastic waste generation (tonnes, total)",Population_2010,Area_km2,Per capita plastic waste (kg/person/day),Mismanaged waste (% global total),Share of plastic inadequately managed,GPD (in USD 2015),Fossil-Fuel subsities as proportion of total GDP
Namibia,"NAM",2010,114222,2212037,825615,0.144,0.0172,66,8787651209.24496,0.9906
Nauru,NRU,2010,527,NA,NA,0.144,0.0017,67,41204600.652142,NA
Netherlands,NLD,2010,2571398,16574989,41543,0.424,0.087,0,737269160825.437,0.0245
New Caledonia,NCL,2010,22995,248000,NA,0.252,0.0015,0,NA,NA
New Zealand,NZL,2010,525630,4367800,268021,0.331,0.0292,0,154043828518.628,0.02866
Nicaragua,NIC,2010,299480,5822265,130375,0.143,0.2651,45,9778809539.52618,1.85681
Nigeria,NGA,2010,5961750,158258917,923768,0.103,2.674,81,380985472030.909,0.14959
North Korea,PRK,2010,484700,24325701,120540,0.054,0.9557,88,NA,NA
Northern Mariana Islands,MNP,2010,5006,NA,NA,0.252,7e-4,0,881321212.121212,NA
Norway,NOR,2010,499682,4858199,385203,0.28,0.0264,0,354111728841.583,0.30537
Oman,OMN,2010,93251,2773479,309500,0.084,0.0146,4,62776154506.6944,0.1423
Pakistan,PAK,2010,6412210,173510000,881913,0.103,1.5089,86,222284432536.034,1.06476
Palau,PLW,2010,1076,NA,NA,0.144,0.0022,56,234129899.999999,NA
Palestine,PSE,2010,87636,4048403,6020,0.063,0.0176,6,NA,NA
Panama,PAN,2010,192818,3504483,75417,0.145,0.108,18,37273325312.3854,0.31175
Papua New Guinea,PNG,2010,267234,6744955,462840,0.103,0.2821,86,16339698488.6725,NA
Peru,PER,2010,1543879,29461933,1285216,0.144,0.6106,25,150300719889.204,NA
Philippines,PHL,2010,2565766,92337852,343448,0.075,5.9153,81,228621986430.26,NA
Poland,POL,2010,1346905,38167329,312679,0.097,0.0493,12,413089003846.664,0.28684
Portugal,PRT,2010,1022683,10637713,92212,0.265,0.0515,0,207893071520.955,0.13159
Puerto Rico,PRI,2010,342306,3721978,9104,0.252,0.0519,2,106406296723.36,NA
Qatar,QAT,2010,103933,1699435,11581,0.16,0.0024,0,116951901413.005,2.09411
Romania,ROU,2010,310385,21462186,238397,0.042,0.0113,26,154408594834.276,NA
Russia,RUS,2010,5839685,142849472,17075200,0.112,0.2536,16,NA,2.53993
Saint Kitts and Nevis,KNA,2010,12280,NA,NA,0.654,0.0022,6,NA,0.44846
Saint Lucia,LCA,2010,32882,174000,NA,0.522,0.0211,20,NA,NA
Saint Vincent and the Grenadines,VCT,2010,8818,109284,NA,0.221,0.007,21,NA,NA
Samoa,WSM,2010,7000,183123,NA,0.103,0.0161,80,758822283.280399,NA
Sao Tome and Principe,STP,2010,6571,NA,NA,0.103,0.016,81,252936034.663125,NA
Saudi Arabia,SAU,2010,1561618,27136977,2149690,0.156,0.0645,8,509171960046.465,8.91021
Senegal,SEN,2010,485586,12509434,196712,0.103,0.8001,82,14575382382.5758,1.55437
Seychelles,SYC,2010,11730,NA,NA,0.358,0.0145,37,1084506074.45092,NA
Sierra Leone,SLE,2010,96655,5835664,71740,0.041,0.1143,84,3437630797.22922,NA
Singapore,SGP,2010,359483,5076700,721.5,0.194,0.0203,0,247077320337.504,NA
Sint Maarten (Dutch part),SXM,2010,3263,NA,NA,0.252,2e-4,0,1143576512.44684,NA
Slovenia,SVN,2010,108421,2046976,20273,0.145,0.0017,1,42209622062.3397,0.39945
Solomon Islands,SLB,2010,19842,530669,NA,0.103,0.064,86,1108154864.2049,NA
Somalia,SOM,2010,237569,9358602,637657,0.054,0.3188,85,NA,NA
South Africa,ZAF,2010,4465798,49991300,1221037,0.24,1.9784,54,311653604140.269,0.77316
South Korea,KOR,2010,2025772,49410366,100210,0.112,0.106,0,NA,0.0106
Spain,ESP,2010,4709157,45989016,505990,0.277,0.144,0,1196670854394.8,0.1987
Sri Lanka,LKA,2010,2621606,20653000,65610,0.357,4.9968,82,59780043793.0496,0.17159
Sudan,SDN,2010,1292740,42338426,1886068,0.103,0.072,80,59215296613.7581,0.63367
Suriname,SUR,2010,31300,531170,NA,0.163,0.0124,15,4731441127.40364,1.91721
Sweden,SWE,2010,164305,9340682,450295,0.048,0.0068,0,453619110971.171,0.27708
Syria,SYR,2010,1365594,20619000,185180,0.178,0.4959,65,NA,NA
Tanzania,TZA,2010,386998,43187823,947303,0.023,0.1526,84,34802104317.9451,NA
Thailand,THA,2010,3532495,63878267,513120,0.144,3.2274,73,346968110267.494,0.25085
Togo,TGO,2010,135294,6191155,56785,0.057,0.1112,84,3103184695.75064,NA
Tonga,TON,2010,8476,103365,NA,0.223,0.0208,78,391911617.158105,NA
Trinidad and Tobago,TTO,2010,1745123,1317714,5131,0.29,0.2954,3,24046505001.8902,3.31731
Tunisia,TUN,2010,559235,10547100,163610,0.144,0.7358,60,42282852743.2843,2.40085
Turkey,TUR,2010,5596657,73722988,783356,0.212,1.526,16,614171064520.319,0.38899
Turks and Caicos Islands,TCA,2010,2851,NA,NA,0.252,2e-4,0,NA,NA
Tuvalu,TUV,2010,554,NA,NA,0.144,0.0014,73,29675542.3122979,NA
Ukraine,UKR,2010,1724509,45782592,603628,0.103,0.4044,49,106195342825.514,8.63034
United Arab Emirates,ARE,2010,600741,8264070,83600,0.199,0.0095,0,278172625005.8,3.19882
United Kingdom,GBR,2010,4925590,62026962,242495,0.215,0.2121,0,2666812634394.31,0.68766
United States,USA,2010,37825550,309349689,9833520,0.335,0.8649,0,16320099471000,0.05118
Uruguay,URY,2010,310379,3356584,176215,0.252,0.0677,8,45125322733.7231,NA
Vanuatu,VUT,2010,25443,245036,NA,0.295,0.0706,81,674601737.452905,NA
Venezuela,VEN,2010,2669998,28833845,716445,0.252,0.3214,5,NA,2.95044
Vietnam,VNM,2010,3268227,86932500,331230.8,0.103,5.7588,86,144993725389.756,0.04176
Yemen,YEM,2010,887497,23153982,527968,0.103,0.531,73,NA,0.4106
Ethiopia,NA,NA,NA,83483000,1104300,NA,NA,NA,39727092173.7156,1.06563
Democratic Republic of the Congo,NA,NA,NA,67827496,2345409,NA,NA,NA,NA,NA
Uganda,NA,NA,NA,31784600,241038,NA,NA,NA,24896350853.0852,1.29165
Nepal,NA,NA,NA,28043744,147181,NA,NA,NA,19764532017.4887,NA
Uzbekistan,NA,NA,NA,28001400,448978,NA,NA,NA,60876692056.519,4.16143
Afghanistan,NA,NA,NA,24485600,652864,NA,NA,NA,15354604611.6719,0.14147
Taiwan,NA,NA,NA,23162120,36197,0.252,0.1436,0,NA,NA
Kazakhstan,NA,NA,NA,16442000,2724900,NA,NA,NA,146559512181.377,1.37961
Burkina Faso,NA,NA,NA,15730977,274200,NA,NA,NA,9088720420.95919,1.14818
Mali,NA,NA,NA,15370000,1240192,NA,NA,NA,11009109608.9997,1.01527
Niger,NA,NA,NA,15203822,1267000,NA,NA,NA,7299346317.20715,NA
Malawi,NA,NA,NA,13947592,118484,NA,NA,NA,5218860380.1025,1.86799
Zambia,NA,NA,NA,13257269,752618,NA,NA,NA,16527123087.7163,9.87638
Zimbabwe,NA,NA,NA,12644041,390757,NA,NA,NA,14100154121.2086,13.53115
Chad,NA,NA,NA,11714904,1284000,NA,NA,NA,8653710578.06277,NA
Czechia,NA,NA,NA,10506813,78866,NA,NA,NA,NA,0.14514
Bolivia,NA,NA,NA,10426154,1098581,NA,NA,NA,25266542224.0712,1.91377
Rwanda,NA,NA,NA,10412820,26338,NA,NA,NA,6015645883.64785,0.34304
Hungary,NA,NA,NA,10014324,93030,NA,NA,NA,113135489067.688,0.42283
Belarus,NA,NA,NA,9480178,207595,NA,NA,NA,53317530166.8315,0.17549
Azerbaijan,NA,NA,NA,8997586,86600,NA,NA,NA,47218530722.19,2.18983
Burundi,NA,NA,NA,8518862,27834,NA,NA,NA,2718169887.36642,NA
Austria,NA,NA,NA,8375290,83879,NA,NA,NA,362278282473.232,0.21163
Switzerland,NA,NA,NA,7785806,41285,NA,NA,NA,641851654874.59,0.33757
Tajikistan,NA,NA,NA,7616400,143100,NA,NA,NA,5897861420.90634,4.07334
Serbia,NA,NA,NA,7291436,77474,NA,NA,NA,37959857147.321,NA
Paraguay,NA,NA,NA,6459727,406752,NA,NA,NA,29786033372.5215,0.0873
Laos,NA,NA,NA,6230200,237955,NA,NA,NA,NA,NA
Turkmenistan,NA,NA,NA,5479800,491210,NA,NA,NA,21701780648.8816,14.19262
Slovakia,NA,NA,NA,5424925,49035,NA,NA,NA,NA,0.28597
Kyrgyzstan,NA,NA,NA,5418300,199951,NA,NA,NA,NA,10.06978
Central African Republic,NA,NA,NA,4505945,622984,NA,NA,NA,2332499960.04546,NA
Republic of the Congo,NA,NA,NA,3758678,342000,NA,NA,NA,NA,NA
Moldova,NA,NA,NA,3563695,33846,NA,NA,NA,6452460920.49613,NA
Armenia,NA,NA,NA,3249482,29743,NA,NA,NA,8513508875.79318,0.04371
Mongolia,NA,NA,NA,2780800,1566000,NA,NA,NA,7152385742.49397,NA
Kosovo,NA,NA,NA,2208107,10908,NA,NA,NA,5048933039.08891,NA
Macedonia,NA,NA,NA,2052722,25713,NA,NA,NA,NA,NA
Botswana,NA,NA,NA,2029307,581730,NA,NA,NA,11211689312.5714,0.7229
Lesotho,NA,NA,NA,1891830,30355,NA,NA,NA,1986757270.54383,1.51854
Timor-Leste,NA,NA,NA,1149028,NA,NA,NA,NA,1296499018.68476,NA
Swaziland,NA,NA,NA,1055506,NA,NA,NA,NA,NA,NA
Réunion,NA,NA,NA,828054,NA,NA,NA,NA,NA,NA
Bhutan,NA,NA,NA,695822,NA,NA,NA,NA,1532318165.5995,NA
Macau,NA,NA,NA,552300,NA,NA,NA,NA,NA,NA
Western Sahara,NA,NA,NA,530000,NA,NA,NA,NA,NA,NA
Luxembourg,NA,NA,NA,502066,NA,NA,NA,NA,53991112017.9913,0.00421
Guadeloupe,NA,NA,NA,404394,NA,0.144,0.0206,25,NA,NA
Martinique,NA,NA,NA,399637,NA,0.252,0.0024,0,NA,NA
French Guiana,NA,NA,NA,232223,NA,0.144,0.0074,25,NA,NA
Mayotte,NA,NA,NA,202000,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,NA,NA,NA,165397,NA,NA,NA,NA,NA,NA
U.S. Virgin Islands,NA,NA,NA,106267,NA,NA,NA,NA,NA,NA
Micronesia,NA,NA,NA,102624,NA,NA,NA,NA,NA,NA
Anguilla,NA,NA,NA,NA,NA,0.252,2e-4,2,NA,NA
