Entity,Year,plastic_waste_gen,Population_2010,Area_km2,plastic_waste_per_cap,mismanaged_waste,percent_of_inadequate_managed,GDP,GDP_per_cap
Morocco,2010,863555,31894000,710850,0.073,0.9739,66,83183640110.5864,2608.128178045601
Mozambique,2010,132612,22416881,801590,0.015,0.1444,84,11292433937.9272,503.74688333881954
Myanmar,2010,1373018,59780000,676578,0.075,1.4391,87,45669365074.4634,763.9572611987855
Namibia,2010,114222,2212037,825615,0.144,0.0172,66,8787651209.24496,3972.6510945544587
Nauru,2010,527,165397,1030000,0.144,0.0017,67,41204600.652142,22434.421358925585
Netherlands,2010,2571398,16574989,41543,0.424,0.087,0,737269160825.437,44480.82353631951
New Caledonia,2010,22995,248000,9104,0.252,0.0015,0,4727000110.65619,48256.06204786009
New Zealand,2010,525630,4367800,268021,0.331,0.0292,0,154043828518.628,35268.05909579834
Nicaragua,2010,299480,5822265,130375,0.143,0.2651,45,9778809539.52618,1679.5541837285284
Nigeria,2010,5961750,158258917,923768,0.103,2.674,81,380985472030.909,2407.3554858896764
North Korea,2010,484700,24325701,120540,0.054,0.9557,88,35165253297.9777,1667.8885962068962
Northern Mariana Islands,2010,5006,180865,49035,0.252,7e-4,0,881321212.121212,25903.611060173327
Norway,2010,499682,4858199,385203,0.28,0.0264,0,354111728841.583,72889.50675787118
Oman,2010,93251,2773479,309500,0.084,0.0146,4,62776154506.6944,22634.44378222961
Pakistan,2010,6412210,173510000,881913,0.103,1.5089,86,222284432536.034,1281.1044466372773
Palau,2010,1076,3249482,1030000,0.144,0.0022,56,234129899.999999,2572.060465511353
Palestine,2010,87636,4048403,6020,0.063,0.0176,6,614171064520.319,18763.03171301892
Panama,2010,192818,3504483,75417,0.145,0.108,18,37273325312.3854,10635.89845132232
Papua New Guinea,2010,267234,6744955,462840,0.103,0.2821,86,16339698488.6725,2422.506671826943
Peru,2010,1543879,29461933,1285216,0.144,0.6106,25,150300719889.204,5101.522696735615
Philippines,2010,2565766,92337852,343448,0.075,5.9153,81,228621986430.26,2475.929225971815
Poland,2010,1346905,38167329,312679,0.097,0.0493,12,413089003846.664,10823.10485616282
Portugal,2010,1022683,10637713,92212,0.265,0.0515,0,207893071520.955,19543.02315929702
Puerto Rico,2010,342306,3721978,9104,0.252,0.0519,2,106406296723.36,28588.642040162515
Qatar,2010,103933,1699435,11581,0.16,0.0024,0,116951901413.005,68818.10802590568
Romania,2010,310385,21462186,238397,0.042,0.0113,26,154408594834.276,7194.44863791023
Russia,2010,5839685,142849472,17075200,0.112,0.2536,16,1179642326916.53,9017.380942172795
Saint Kitts and Nevis,2010,12280,5534738,505990,0.654,0.0022,6,247802932721.582,48563.81054094027
Saint Lucia,2010,32882,174000,2040,0.522,0.0211,20,8521308887.16299,10224.132013696875
Saint Vincent and the Grenadines,2010,8818,109284,491210,0.221,0.007,21,391911617.158105,7813.057284926292
Samoa,2010,7000,183123,42931,0.103,0.0161,80,758822283.280399,4143.784687234258
Sao Tome and Principe,2010,6571,100835,390757,0.103,0.016,81,252936034.663125,3972.6510945544587
Saudi Arabia,2010,1561618,27136977,2149690,0.156,0.0645,8,509171960046.465,18763.03171301892
Senegal,2010,485586,12509434,196712,0.103,0.8001,82,14575382382.5758,1165.1512276715157
Seychelles,2010,11730,109284,765.3,0.358,0.0145,37,1084506074.45092,4143.784687234258
Sierra Leone,2010,96655,5835664,71740,0.041,0.1143,84,3437630797.22922,589.0727768475396
Singapore,2010,359483,5076700,721.5,0.194,0.0203,0,247077320337.504,48668.88339620305
Sint Maarten (Dutch part),2010,3263,5424925,45227,0.252,2e-4,0,1143576512.44684,30055.394248753102
Slovenia,2010,108421,2046976,20273,0.145,0.0017,1,42209622062.3397,20620.477261257434
Solomon Islands,2010,19842,530669,33846,0.103,0.064,86,1108154864.2049,2088.222346142134
Somalia,2010,237569,9358602,637657,0.054,0.3188,85,45669365074.4634,1606.0419191036647
South Africa,2010,4465798,49991300,1221037,0.24,1.9784,54,311653604140.269,6234.15682609312
South Korea,2010,2025772,49410366,100210,0.112,0.106,0,2666812634394.31,51293.15394147962
Spain,2010,4709157,45989016,505990,0.277,0.144,0,1196670854394.8,26020.797105004378
Sri Lanka,2010,2621606,20653000,65610,0.357,4.9968,82,59780043793.0496,2894.496866946671
Sudan,2010,1292740,42338426,1886068,0.103,0.072,80,59215296613.7581,1398.6182815052714
Suriname,2010,31300,531170,338424,0.163,0.0124,15,4731441127.40364,8907.583499451475
Sweden,2010,164305,9340682,450295,0.048,0.0068,0,453619110971.171,48563.81054094027
Syria,2010,1365594,20619000,185180,0.178,0.4959,65,16527123087.7163,3329.4147550830576
Tanzania,2010,386998,43187823,947303,0.023,0.1526,84,34802104317.9451,805.8314103478913
Thailand,2010,3532495,63878267,513120,0.144,3.2274,73,346968110267.494,5431.7082563854465
Togo,2010,135294,6191155,56785,0.057,0.1112,84,3103184695.75064,501.22871996431036
Tonga,2010,8476,103365,36125,0.223,0.0208,78,391911617.158105,3791.5311484361728
Trinidad and Tobago,2010,1745123,1317714,5131,0.29,0.2954,3,24046505001.8902,18248.652592209084
Tunisia,2010,559235,10547100,163610,0.144,0.7358,60,42282852743.2843,4008.955328316248
Turkey,2010,5596657,73722988,783356,0.212,1.526,16,614171064520.319,8330.794521246466
Turks and Caicos Islands,2010,2851,165397,11581,0.252,2e-4,0,53991112017.9913,26874.479009007984
Tuvalu,2010,554,109553,1566000,0.144,0.0014,73,29675542.3122979,4611.035942002116
