Entity,"Plastic waste generation (tonnes, total)",Population,Annual Growth Rate %,Area (sq km),Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate,Per capita plastic waste (kg/person/day),Mismanaged waste (% global total),Share of plastic inadequately managed,gdp_per_capita
Afghanistan,NA,29116851,2.139,652230,44.6,5.8532,48.93,190.04,NA,NA,NA,631.49
Albania,73364,2989272,0.302,27398,109.1,1.4717,78.45,14.09,0.069,0.0933,45,4097.833
Algeria,1898343,35949869,1.948,2381740,15.1,2.8013,75.56,29.22,0.144,1.6347,58,4480.719
American Samoa,NA,55529,-0.796,198,280.4,3.416,74.51,13.83,NA,NA,NA,NA
Andorra,NA,84563,0.414,468,180.7,1.3391,82.88,4.33,NA,NA,NA,49030.229
Angola,528843,22641144,3.715,1246700,18.2,6.464,57.29,130.05,0.062,0.1964,71,3641.444
Anguilla,NA,14748,2.197,91,162.1,1.7336,80.35,5.2,0.252,2e-4,2,NA
Antigua and Barbuda,22804,86664,1.265,443,195.6,2.06,74.28,24.05,0.66,0.0039,6,13564.679
Argentina,2753550,41358093,1.047,2736690,15.1,2.3934,76.06,13.95,0.183,0.4955,12,10412.974
Armenia,NA,3071974,-0.079,28203,108.9,1.6289,73.1,18.55,NA,NA,NA,3121.778
Aruba,9352,104537,1.457,180,580.8,1.8453,75.27,18.3,0.252,0.0012,1,24084.879
Australia,900658,21839563,1.495,7682300,2.8,1.9202,81.58,4.94,0.112,0.0436,0,56459.924
Austria,NA,8447901,0.271,82445,102.5,1.4408,80.72,4.72,NA,NA,NA,46955.173
Azerbaijan,NA,9301693,1.023,82629,112.6,1.9351,70.71,34.86,NA,NA,NA,5880.806
Bahamas,51364,319159,0.948,10010,31.9,2.0196,71.1,22.34,0.39,0.0042,1,29303.257
Bahrain,59785,1180087,2.971,760,1552.7,1.9087,78.06,14.81,0.132,0.0137,10,20827.719
Bangladesh,1888170,146553896,1.114,130170,1125.9,2.4,71.44,51.42,0.034,2.4725,87,781.154
