Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,ARM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5839777179.55234,5156523338.13202,3001096441.20728,2736999990.59546,2884798066.15368,3083849087.13088,3264729194.59891,3373153453.15604,3619393654.82187,3738833645.45205,3959424830.6504,4339529614.36417,4912347523.37066,5600076176.7187,6188084175.20809,7048227875.50714,7978593955.03646,9071661326.99986,9697605958.60182,8330243518.3711,8513508875.79318,8913643792.84258,9555426146.01325,9870755208.83169,10226102396.4079,10553337672.9872,10574444348.3148,11367527674.612,11958639113.6524,12867495686.1153,11915301005.3428
American Samoa,ASM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744923664.122138,752116030.534351,755198473.282443,752116030.534351,721291603.053435,734648854.961832,715126717.557252,685329770.992367,687384732.824428,687384732.824428,657587786.259542,641148091.603054,652450381.679389,673000000,661697709.923664,615461068.70229,631900763.358779,628818320.610687,653477862.59542
Antigua and Barbuda,ATG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,346269196.833577,361448350.027329,390652456.233093,422535286.105259,438654653.040003,438286129.335493,461795868.634098,508737398.337917,547624235.019779,610567225.77537,651025662.211974,684965406.632283,720941671.087821,742654377.271652,758818833.53906,767609561.473437,808138415.274982,862095450.251678,824511645.778324,878966185.317249,927059773.66768,970920131.234148,1006918139.9154,1069381614.5052,1020746101.54234,1031233675.39432,1093897040.21001,1156982395.5026,1231883484.14811,1388433067.06436,1517770927.22872,1517553268.98274,1336012965.82455,1231261603.44532,1207145958.1923,1247861376.20468,1240363271.73109,1287444082.93699,1336692592.59259,1410163355.6217,1454503449.73032,1554626242.87881,1630215842.3024,1301036618.29788
Australia,AUS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,205048666020.255,210140579058.534,212860782121.407,226089971117.828,241867751030.378,256333601242.157,262439380778.966,278982641188.18,293197094658.674,313848509001.801,336369592522.62,349823081605.576,363497860035.65,373018570755.707,388332696798.105,393519448128.006,403716822531.938,418221812356.132,421961150711.515,439053871064.253,452380909091.713,467485036059.805,483018946079.612,472286412744.384,493992338568.166,519937385490.482,540895895254.1,554677554933.462,586536446754.782,609202798452.45,630972702488.834,628479810251.912,631080336422.977,656535385505.246,682668603641.098,708840961389.366,736162668909.91,764934047459.534,800228192955.163,839732857524.87,872586798723.367,890372741826.771,926116992865.178,954922242233.238,995080989941.195,1026528915832.15,1054521265557.74,1094260767801.94,1133402638271.95,1154561362206.77,1179642326916.53,1208776499565.85,1256128656424.85,1288790662985.54,1321821485124.76,1350534154255.76,1387560980285.63,1419418366737.24,1460169477425.41,1491025040336.15,1490967836287.24
Austria,AUT,GDP (constant 2015 US$),NY.GDP.MKTP.KD,84896808897.8958,89598376615.323,91971546518.3426,95777575212.1801,101643332719.497,105180698490.616,111115899537.492,114458318906.485,119577252933.53,127081762488.474,135114781955.074,142025860605.762,150842628738.947,158219489928.118,164456720676.386,163858533309.603,171360706845.024,180065797498.937,179686482242.781,189311747857.845,192589653502.591,192311756858.006,196179636120.972,202012229400.395,202115810692.184,207166034993.966,211933740060.829,214810037098.103,221889917930.629,230514945053.794,240532297938.036,248810524315.793,254019433892.259,255357631649.207,261491626025.454,268468179542.483,274775930301.869,280528637501.228,290575562542.055,300909392067.843,311067257058.536,315009002387.092,320211545920.249,323226244509.893,332066870887.62,339518668391.822,351245785239.585,364338174382.496,369659055340.931,355742951210.873,362278282473.232,372866942272.743,375404098888.85,375499844623.848,377982923143.829,381817565893.574,389413586441.667,398208774353.475,408170345615.019,414257026093.423,386358828359.98
Azerbaijan,AZE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20239380746.3161,20097705044.1091,15555623694.9696,11962274728.8363,9605706520.83796,8472233177.12798,8582372163.10554,9080149749.62383,9988164830.40362,10727288986.5847,11918018010.8342,13097901809.4266,14334201803.8263,15797480128.1536,17259347553.7711,22085326590.3978,29704764264.085,37130955330.1062,41125866703.2749,44949076753.5509,47218530722.19,47265749252.9122,48289165892.6824,51094670309.1116,52500032807.7481,53074370486.0433,51429065000.976,51531923130.9779,52304901977.9426,53612524527.3911,51307185972.7133
Burundi,BDI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,798636603.011911,688854936.96542,751286947.842861,782355724.027755,831433195.132744,864418025.76897,904293567.888834,1029280671.59157,1026214612.51905,1011236588.03174,1226889573.12518,1260590128.17657,1179862378.54644,1261143696.2057,1251977204.88654,1260715007.15168,1360849326.04288,1516931300.49667,1502663408.91201,1527682077.72451,1542822258.41762,1730479981.26805,1712247647.29676,1775863246.29692,1778625495.1103,1988204141.98254,2052824364.47636,2165793262.40454,2274754849.20289,2305452716.6181,2386139461.22238,2505370947.52141,2530675153.27879,2372761023.67901,2281884276.56231,2101159041.77306,1933066318.47448,1902330564.07146,1992691265.77157,1972565084.05706,1955662882.82275,1995867539.38323,2084614176.96466,2059104170.41813,2158634219.10471,2178061927.09612,2295977999.32591,2375234069.03261,2490711132.43028,2585675644.82962,2718169887.36642,2827782874.09675,2953526127.66363,3098963521.28296,3230379768.78531,3104394858.11518,3085767868.07056,3101197015.95003,3151124212.65852,3209182941.33059,3218732735.47832
Belgium,BEL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,107366655198.619,112711821523.205,118586365616.34,123746751262.705,132355422615.927,137068148994.889,141393875830.575,146863198721.62,153022831647.349,163167939026.659,172277373827.955,179144052099.227,188630813018.71,200668669305.573,209829711730.044,205704582209.643,217332539614.864,218693377861.03,224908417292.124,230173687424.147,240402730102.557,239731325474.251,241157695149.165,241909727823.21,247876147754.542,251970548361.707,256563371342.651,262481414890.165,274878960387.47,284414970526.324,293338212397.457,298715319714.369,303287620523.641,300370377849.968,310063244412.389,317457500204.916,321652545295.04,333854941620.112,340404535481.244,352464194911.908,365564158980.916,369583971520.019,375892343356.801,379794040283.981,393357261546.418,402489982841.63,412762935691.94,427939738210.589,429852323870.317,421166112860.176,433229543117.888,440570677938.919,443827452534.333,445865695460.078,452903833237.191,462149679343.822,468003666521.404,475583361606.516,484235191546.519,494644115983.888,466648941451.321
Benin,BEN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1651120625.57515,1702986955.13621,1644635642.82313,1722427368.82308,1836981864.11691,1934229164.29541,2003394544.14855,2024999124.18289,2102806387.15614,2163314598.38706,2208695694.30502,2175635013.29465,2315449315.67552,2401263695.18242,2481449385.76606,2359973866.29356,2380844444.63745,2499497725.57111,2530868372.43581,2696279536.50696,2879134847.99149,3165730586.35962,3236486765.25439,3095770057.87675,3341259656.74457,3592867362.52965,3670873600.39357,3615810388.11729,3738937601.22939,3632222321.23508,3958255477.06654,4125523414.03257,4247544466.72825,4495438471.19399,4586264330.18832,4863513119.58136,5073825240.77247,5364793307.03368,5577293421.1214,5875201725.54095,6219354251.61579,6551040853.89379,6855207703.09519,7091272043.49982,7405393025.88227,7532259594.99787,7829312241.28345,8298002221.53926,8704320296.77356,8906198913.18118,9094481722.87524,9364019690.4087,9814543589.03926,10520349986.3078,11189200078.4152,11388160958.249,11768488343.5155,12435944687.8335,13268812169.9892,14179807326.7156,14725558673.4836
Burkina Faso,BFA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1166782782.04356,1213966637.39199,1288368209.87141,1272031490.03047,1301069669.40977,1350049027.54765,1357307067.74807,1477066545.51497,1522423920.0375,1553269462.43977,1555087092.32094,1577065758.39551,1613519613.54947,1620769599.35777,1755073480.65671,1807697303.6151,1961982369.84559,1969248641.35979,2059988172.67194,2135478942.38886,2152496122.90425,2244091363.48858,2458675792.05988,2467182435.09893,2423298742.87483,2629699941.73324,2838902110.75703,2832192740.53431,2996335103.75436,3060764316.96266,3042310097.1897,3318247150.21709,3325969068.44029,3441093660.86632,3486344292.74658,3685636766.66074,4091600216.47068,4350059840.1554,4667950017.22733,5013156021.43868,5107828163.92166,5445629565.17945,5682675850.46101,6126066286.40807,6400419232.9076,6954815432.94898,7389711495.72987,7693530543.6276,8139754679.75346,8380850213.3838,9088720420.95919,9690626621.56382,10315931008.977,10913490065.2338,11385699931.5135,11832159275.603,12537116569.2425,13314855268.0876,14194244080.5891,15001629028.4851,15291209207.4632
